"Source:","C:\Users\Marki004\surfdrive\Afstudeerstage  HPT UU 22-23\PCB\Meetmodule large display\Meetmodule V2.kicad_sch"
"Date:","19-12-2022 17:48:49"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","100"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DESCRIPTION","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER"
"26","4","R12, R13, R14, R15","49R9","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"27","1","R16","4k7","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"28","4","R18, R19, R20, R22","3R3","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"29","1","R23","12K/1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"30","1","R24","300R/1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"31","1","R25","1M","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"32","1","R26","0R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"33","1","R27","4R7","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"34","3","R28, R29, R30","100R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"35","1","SW1","BOOTSEL","Switch:SW_Push","HPT:Switch","~","","","",""
"36","1","SW2","RESET","Switch:SW_Push","HPT:Switch","~","","","",""
"37","1","SW3","Display","Switch:SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~","","","",""
"38","1","U1","NCP1117-3.3_TO252","Regulator_Linear:NCP1117-3.3_TO252","Package_TO_SOT_SMD:TO-252-2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","","","",""
"39","1","U2","USB6B1","Power_Protection:USB6B1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.st.com/content/ccc/resource/technical/document/datasheet/3e/ec/b2/54/b2/76/47/90/CD00001361.pdf/files/CD00001361.pdf/jcr:content/translations/en.CD00001361.pdf","","","",""
"40","1","U3","RP2040","MCU_RaspberryPi:RP2040","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf","","","",""
"41","1","U4","W25Q16JVUXIQ","HPT:W25Q16JVUXIQ","SON50P300X200X60-9N","","SPIFLASH, 3V, 16M-BIT, 4KB UNIFO","0.6mm","Winbond","W25Q16JVUXIQ"
"42","1","U5","W5100S","HPT:W5100S","HPT:LQFP48","","","","",""
"43","1","U6","SCD4x","HPT:SCD4x","HPT:SDC4x","","","","",""
"44","1","U7","SGP41","HPT:SGP41","HPT:XDCR_SGP41-D-R4","","","","",""
"45","1","U8","SHT4x","HPT:SHT4x","HPT:SHT4x","","","","",""
"46","1","Y1","12MHz","HPT:Crystal","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","","","","",""
"47","1","Y2","25MHz","HPT:Crystal","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","","","","",""
